,guesses,green_expected,yellow_expected,green2,green3,green4,green5
0,aahed,0.3840172786177105,0.8177105831533478,1.5857451403887688,1.9697624190064793,2.35377969762419,2.7377969762419
1,aalii,0.3127429805615551,0.6790496760259179,1.3045356371490282,1.6172786177105831,1.9300215982721383,2.242764578833693
2,aargh,0.3550755939524838,0.7222462203023758,1.4323974082073434,1.787473002159827,2.142548596112311,2.497624190064795
3,aarti,0.3269978401727861,1.024622030237581,1.6786177105831532,2.0056155507559392,2.332613390928725,2.659611231101511
4,abaca,0.2937365010799136,0.4375809935205184,1.0250539956803455,1.3187904967602593,1.6125269978401728,1.9062634989200864
5,abaci,0.2708423326133909,0.7399568034557236,1.2816414686825053,1.5524838012958964,1.8233261339092872,2.094168466522678
6,abacs,0.2816414686825054,0.7161987041036717,1.2794816414686825,1.561123110151188,1.8427645788336933,2.1244060475161985
7,abaft,0.3248380129589633,0.5900647948164147,1.2397408207343412,1.5645788336933046,1.889416846652268,2.2142548596112315
8,abaka,0.2518358531317494,0.3732181425485961,0.8768898488120949,1.1287257019438441,1.3805615550755936,1.6323974082073431
9,abamp,0.2539956803455723,0.561987041036717,1.0699784017278615,1.323974082073434,1.577969762419006,1.8319654427645786
10,aband,0.3300215982721382,0.605183585313175,1.2652267818574514,1.5952483801295894,1.9252699784017278,2.2552915766738657
11,abash,0.3339092872570194,0.6341252699784017,1.3019438444924405,1.63585313174946,1.9697624190064793,2.303671706263499
12,abask,0.3226781857451404,0.5688984881209503,1.214254859611231,1.5369330453563714,1.8596112311015118,2.1822894168466522
13,abaya,0.2293736501079913,0.4885529157667386,0.9473002159827212,1.1766738660907126,1.4060475161987038,1.635421166306695
14,abbas,0.178401727861771,0.6315334773218143,0.9883369330453563,1.1667386609071273,1.3451403887688982,1.5235421166306693
15,abbed,0.2807775377969762,0.8479481641468682,1.4095032397408205,1.6902807775377968,1.971058315334773,2.251835853131749
16,abbes,0.2453563714902807,0.9900647948164149,1.4807775377969763,1.726133909287257,1.9714902807775376,2.2168466522678183
17,abcee,0.4120950323974082,0.8190064794816415,1.6431965442764578,2.055291576673866,2.467386609071274,2.8794816414686824
